npi,first_name,last_name,credential,specialty_code,specialty_label,org_key,org_name,role,effective_date,status
KHS-P00060,Omar,Davis,MD,CARD,Cardiology,KHS-CARD,Keystone Cardiology Associates,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00061,Susan,Williams,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00062,Chen,Andersson,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00063,Hassan,Miller,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00064,Michael,Dubois,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00065,David,Chen,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00066,Robert,Jones,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00067,William,Johnson,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00068,Aisha,Rossi,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00069,Ahmed,Jones,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00070,Sofia,Davis,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00071,Elizabeth,Mwangi,NP,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00072,Patricia,Novak,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00073,Linda,Kowalski,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00074,David,Davis,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00075,Richard,Martinez,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00076,Sarah,Miller,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00077,Robert,Reyes,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00078,Wei,Ali,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00079,Thomas,Ali,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00080,Priya,Novak,DO,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00081,Grace,Silva,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00082,Chen,Martinez,DO,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00083,Chen,Kowalski,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00084,Richard,Patel,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00085,Aisha,Nguyen,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00086,Robert,Chen,DO,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00087,Sarah,Andersson,NP,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00088,Wei,Brown,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00089,Robert,Chen,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00090,Omar,Johnson,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00091,Thomas,Nguyen,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00092,Omar,Nguyen,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00093,Jennifer,Silva,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00094,Susan,Patel,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00095,Ahmed,Andersson,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00096,Patricia,Johnson,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00097,Thomas,Okafor,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00098,William,Patel,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00099,Mary,Dubois,DO,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00100,Robert,Garcia,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00101,John,Haddad,DO,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00102,James,Chen,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00103,Thomas,Dubois,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00104,Hassan,Jones,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00105,William,Garcia,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00106,Mary,Dubois,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00107,Elizabeth,Nguyen,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00108,David,Brown,NP,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00109,Chen,Mwangi,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00110,Aisha,Haddad,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00111,Priya,Tan,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00112,Nina,Silva,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00113,Patricia,Williams,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00114,Thomas,Chen,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00115,Diego,Costa,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00116,Wei,Novak,PA,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00117,Priya,Rossi,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00118,Sofia,Ivanov,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00119,Ahmed,Martinez,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00120,William,Smith,DO,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00121,Robert,Dubois,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00122,Sofia,Okafor,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00123,William,Mwangi,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00124,Jennifer,Kowalski,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00125,Raj,Silva,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00126,Jennifer,Rossi,DO,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00127,Wei,Haddad,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00128,Mary,Novak,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00129,Linda,Miller,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00130,Hassan,Kim,DO,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00131,Richard,Miller,DO,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00132,Chen,Davis,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00133,Grace,Brown,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00134,Priya,Brown,DO,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00135,Grace,Silva,DO,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00136,Jennifer,Smith,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00137,Priya,Rodriguez,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00138,Sofia,Novak,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00139,Linda,Miller,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00140,Priya,Chen,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00141,Thomas,Haddad,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00142,Raj,Dubois,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00143,Grace,Silva,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00144,Sofia,Kim,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00145,Aisha,Rossi,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00146,Jennifer,Garcia,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00147,Ahmed,Jones,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00148,Jessica,Johnson,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00149,Ahmed,Rodriguez,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00150,Sarah,Patel,DO,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00151,William,Dubois,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00152,Mary,Mwangi,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00153,Patricia,Reyes,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00154,Mary,Dubois,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00155,John,Johnson,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00156,Priya,Davis,DO,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00157,Ahmed,Kowalski,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00158,Hassan,Rodriguez,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00159,Michael,Okafor,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00160,John,Costa,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00161,Richard,Johnson,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00162,John,Kim,PA,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00163,Linda,Andersson,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00164,Michael,Miller,NP,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00165,Robert,Martinez,NP,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00166,Mary,Kowalski,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00167,Ahmed,Ali,DO,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00168,Susan,Ivanov,MD,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00169,Thomas,Reyes,MD,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00170,Sarah,Brown,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00171,David,Rossi,DO,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00172,Sarah,Novak,MD,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00173,Jessica,Davis,NP,IM,Internal Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00174,Grace,Silva,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00175,Susan,Kowalski,PA,ORTHO,Orthopedic Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00176,Raj,Novak,MD,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00177,John,Okafor,PA,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00178,Nina,Dubois,PA,FM,Family Medicine,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00179,Robert,Miller,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00180,Omar,Costa,NP,GS,General Surgery,KHS-GEN,Keystone General Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00181,Raj,Miller,NP,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00182,David,Dubois,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00183,Raj,Davis,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00184,Elizabeth,Smith,DO,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00185,Hassan,Mwangi,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00186,Robert,Novak,NP,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00187,Susan,Mwangi,NP,NEO,Neonatology,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00188,James,Rodriguez,PA,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
KHS-P00189,Robert,Dubois,MD,PED,Pediatrics,KHS-CHILD,Keystone Children's Hospital,EMPLOYEE,2023-01-01,ACTIVE
